id	description	lat_lng	proposal_id	date_added
c9405190-e962-4ba5-93f0-e3ff499f4488	Clostridium thermocellum protein extracts	{"lat":34,"lon":118}	61815	2025-04-16 23:30:49.799-07
76d756da-0ddc-4131-a964-7af7a064ecaf	Laser captured plant cells	{"lat":46.731552,"lon":-117.1509085}	61702	2025-04-02 17:04:47.881-07
fab093ec-99d5-4918-8c48-c93fbf1fe09a	Plant powders and frozen stems	{"lat":46.731552,"lon":-117.1509085}	61702	2025-02-04 14:31:38.752-08
27a1ab4a-7a98-4a61-826c-a4519074c9a0	Kearney soil and minerals	{"lat":36.59885998709976,"lon":-119.50581184629046}	61711	2025-02-04 16:31:57.64-08
076f36ff-869e-498b-a4c1-6c3354d8bf4b	Kearney pore water	{"lon":-119.50581184629046,"lat":36.59889444078881}	61711	2025-02-04 16:31:57.774-08
a7157f12-0712-47f6-8bc0-263635c898f9	Clarkesville soil and minerals	{"lat":36.60981465778918,"lon":-78.56047089332134}	61711	2025-02-04 16:31:57.857-08
adb9699f-c093-4975-9f2f-4085a941bb50	SubTap plates	{"lat":37.68709065594288,"lon":-121.70585376823553}	61711	2025-02-04 16:31:57.953-08
f8e8b543-dd4c-4757-99ac-da1eec8e6a29	Sierra Foothills soil and minerals	{"lat":39.251414426825754,"lon":-121.31363145964455}	61711	2025-02-04 16:31:57.586-08
9406ac51-21d3-4fae-8b78-c01c3ba6cc37	Soil Cores	{"lat":37.68719261233714,"lon":-121.70587520390627}	61711	2025-02-04 16:31:57.995-08
ac9b234a-b714-4bc4-a793-e41e309bd62e	Clakesville pore water	{"lon":-78.56047089332134,"lat":36.6098835553665}	61711	2025-02-04 16:31:57.902-08
d2f02d5c-11e3-46b3-a0ab-8934ff17de96	Carleton soil and minerals	{"lat":44.4650794236315,"lon":-93.14271708818501}	61711	2025-02-04 16:31:57.682-08
03d81e90-2e4c-4081-af78-278e8582aa86	Sierra Foothills pore water	{"lat":39.251414426825754,"lon":-121.31363145964455}	61711	2025-02-04 16:31:57.816-08
9c3d7743-8a26-4a40-8d12-057929feddc8	Carleton pore water	{"lon":-93.14271708818501,"lat":44.4651636497877}	61711	2025-02-04 16:31:57.725-08
d103dee8-66b6-4c33-809a-827b79fd8bf2	samples of atmospheric aerosols collected at ARM field sites	{"lat":34.342481,"lon":87.338177}	61626	2025-01-26 13:29:10.281-08
e7b37730-40e0-436f-9c6f-49e9203ed64a	Sub-micron aerosol samples collected on PTFE substrate	{"lat":46.2,"lon":2.2}	61654	2025-04-02 15:17:07.367-07
296cdae6-64e2-4a2e-afd3-2d60125e5872	methane-oxidizing archaea and syntrophic sulfate-reducing bacterial mats from hydrate-associated sediments	{"lat":33.799662,"lon":-118.646947}	61682	2025-04-02 14:59:20.199-07
03e31333-eaf9-439c-84ee-960c929b8b41	methane-oxidizing archaea and syntrophic sulfate-reducing bacterial mats from hydrate-associated sediments	{"lat":33.799662,"lon":-118.646947}	61682	2025-04-02 14:59:20.251-07
f48f6ce5-493f-4aea-86d5-b00091713e1e	methane-oxidizing archaea and syntrophic sulfate-reducing bacterial mats from hydrate-associated sediments	{"lat":33.799662,"lon":-118.646947}	61682	2025-04-02 14:59:20.309-07
73f872f5-2b53-4982-869c-1b14c0e366bf	54 crude cell lysates or cell pellets for identification of 13C-containing metabolites	{"lat":64.6706667,"lon":-148.241}	61712	2025-02-04 16:39:27.611-08
c615ee25-be53-4111-8426-e0a8bfb54835	54 extracted RNA samples for transcriptomics	{"lat":64.6706667,"lon":-148.241}	61712	2025-02-04 16:39:27.661-08
2f3e8a8e-627d-4a32-868f-e8d17660cf39	Soil	{"lat":40.7356,"lon":74.1722}	61689	2025-02-04 13:03:19.362-08
2d147291-24d1-4afa-84c5-f85995288b98	Compost	{"lat":40.7356,"lon":74.1722}	61689	2025-04-02 14:51:42.59-07
ab474cfa-47de-401d-a6db-34acff529447	Biochar	{"lon":74.1722,"lat":40.7356}	61689	2025-04-02 14:51:42.635-07
b3c13c65-73bd-4140-8363-db2e80351b0d	Cultural (environmental) glass bead samples excavated from crematory gravesite in Dobkowice (Poland)	{"lat":50.92512,"lon":16.87247}	61714	2025-02-05 12:23:53.395-08
7a74fd81-47ba-4f44-90ed-e50f17f98af8	Cultural (environmental) simulant samples related to the Hanford site Integrated Disposal Facility where vitrified radioactive waste will be emplaced (US)	{"lat":46.52,"lon":-119.51}	61714	2025-02-05 12:23:53.5-08
8cb62e41-3339-469e-a68c-e2899f75596b	Cultural (environmental) vitrified wall samples excavated from Broborg hillfort, Sweden	{"lat":59.75625,"lon":17.9516}	61714	2025-02-05 12:23:53.342-08
ff272afc-02d2-415c-a320-c48fe03f4a88	Cultural (Environmental) samples excavated from Newberry Volcano, USA.	{"lat":43.3,"lon":-121.23}	61714	2025-02-04 17:01:01.043-08
034f1aaa-70b6-4ecc-a7b5-4d671729173f	Cultural (environmental) samples samples excavated from Timna Copper Mine, Israel	{"lat":29.76,"lon":34.98}	61714	2025-02-04 17:01:00.996-08
e263e7a4-a583-40d8-bd9d-d9b44bfdc2a7	Cultural (environmental) glass samples excavated from the Ballidon glass burial experiment (UK)	{"lat":53.0881,"lon":1.6965}	61714	2025-02-05 12:23:53.446-08
5e2ec48b-e0f1-418f-922a-3413e557b061	TEM/SEM grids	{"lat":29.7601,"lon":95.3701}	61666	2025-02-04 06:53:33.527-08
d0ea9290-a117-4473-b138-166ad27d5a6f	TEM/SEM grids	{"lat":36.6077,"lon":97.4882}	61666	2025-02-04 06:53:33.479-08
f8a183c1-0977-4956-ac26-4b12a87637d1	TEM/SEM grids	{"lat":38.5458,"lon":106.9253}	61666	2025-02-04 06:53:33.569-08
0e4627ea-19ce-4c4e-a463-a66b022407a3	Tarball aerosols (d-BrC) generated from tar solution derived from wood pyrolysis	{"lat":38.6,"lon":-90.199}	61691	2025-02-04 13:16:58.48-08
b8d5de77-3453-44ad-827c-ff7d666a6998	2 commercially purchased pure minerals and 6 commercially purchased organic compounds 	{"lat":39,"lon":123.00667}	61625	2025-04-02 14:30:35.321-07
b9e71f66-6126-443a-ad5f-a529e0b759f8	Water extracts from lab batch adsorption and desorption experiment for NMR analysis 	{"lat":39,"lon":123.00667}	61625	2025-01-24 09:32:12.183-08
566bdf52-c84e-42bc-bee9-18cba53f4401	Solid samples from lab batch adsorption and desorption experiment for Pyrolysis GC/MS	{"lat":39,"lon":123.00667}	61625	2025-01-24 09:32:12.23-08
c733d6c7-762d-4b27-a938-9196d99d7795	Soil fraction extracts for XPS analysis 	{"lon":123.00667,"lat":39}	61625	2025-04-02 14:30:35.365-07
5cc0f8ed-429b-4131-92fb-cef5565cbc27	hyphae mixed in sand	{"lat":44.01566,"lon":-74.2136}	61705	2025-04-02 13:56:34.317-07
2ceeaa9d-36a1-4c27-987b-a1a8632c9207	hyphae mixed in sand	{"lat":44.01566,"lon":-74.2136}	61705	2025-04-02 13:56:33.226-07
e1ffbbdf-f2ac-4110-a1f6-85bf29ccbdb4	biotite	{"lat":54.61,"lon":-128.43}	61694	2025-04-02 13:55:47.405-07
24466f36-6566-4cc1-92dc-364c04a4506d	root solution sample	{"lat":54.61,"lon":-128.43}	61694	2025-02-04 13:43:41.979-08
74c60d16-58f2-4f67-80b1-f57fce3b6ef7	rhizosphere soils	{"lat":54.61,"lon":-128.43}	61694	2025-04-02 13:55:47.457-07
10b336d2-e680-4299-8c83-f1efcec41749	leaves, needles	{"lat":54.61,"lon":-128.43}	61694	2025-04-02 13:55:47.502-07
