gold_id,latitude,longitude
Gb0376495,41.945701,-103.69853
Gb0147944,38.9383,-110.1354
Gb0159262,36.8313,-121.9047
Gb0110779,48.6,-123.5
Gb0260288,-10.2033,-62.7738
Gb0210858,44.5387,-110.798
Gb0192069,77.9995,-150.0065
Gb0053862,-54.810872,-68.295525
Gb0157456,36,-79
Gb0197009,44.5671,-123.2825
Gb0259339,43.0995,-89.4045
Gb0260963,-1.919,-55.5257
Gb0158562,33.9406,-83.5607
Gb0148375,-28.24,26.8
Gb0352032,48.6765,-122.883233
Gb0368494,41.201041,-97.94475
Gb0260129,38.9373,-107.0128
Gb0288197,27.1359,-81.3652
Gb0363062,41.183612,-97.997459
Gb0317342,22.867298,58.668002
Gb0343364,49.263236,-123.248945
Gb0149268,38.9383,-110.1354
Gb0379016,68.353345,19.04674
Gb0291528,68.3532,19.0474
Gb0342477,43.30485,-89.3309
Gb0210370,51.8484,5.7962
Gb0150624,40.178,-81.073
Gb0368968,41.53394,-103.41033
Gb0192086,37.8864,-122.2981
Gb0376877,41.945701,-103.69853
Gb0351124,39.0017667,-123.0697333
Gb0184834,33.47,-118.4
Gb0343458,49.263236,-123.248945
Gb0186809,48.6,-123.5
Gb0237691,35.2833,81.4833
Gb0192298,59.9982,10.7894
Gb0150410,68.35,19.05
Gb0132732,43.29,8.1
Gb0366183,41.201041,-97.94475
Gb0395817,46.781049,-117.086242
Gb0366472,41.53394,-103.41033
Gb0182664,33.742,-117.7032
Gb0365445,41.945701,-103.69853
Gb0237117,33.919,-117.6176
Gb0351398,37.876,-122.267
Gb0112435,42.4774,-85.451
Gb0259424,42.303,-72.1228
Gb0307353,41.6833,2.8
Gb0156228,57.4344,16.66
Gb0368564,41.201041,-97.94475
Gb0278695,14.75,-16.85
Gb0367096,41.945701,-103.69853
Gb0314868,-38,-45
Gb0149971,40.663,-119.367
Gb0380611,39.7430918,-105.0018988
Gb0376447,41.945701,-103.69853
Gb0382630,41.588337,-70.641089
Gb0305954,29.40849,-82.168434
Gb0363957,41.201041,-97.94475
Gb0343521,49.263236,-123.248945
Gb0143462,38.9225,-106.9515
Gb0307591,41.6833,2.8
Gb0184918,34.7244,-118.8819
Gb0307746,41.84145,-88.2298
Gb0239114,42.9886,-108.4
Gb0385461,49.2606,-123.246
Gb0204327,45.4352,-106.392
Gb0376883,41.945701,-103.69853
Gb0401888,37.5665,-76.8972
Gb0363779,41.945701,-103.69853
Gb0305894,46.12132,-123.269603
Gb0210405,51.8484,5.7962
Gb0317792,42.4891,-85.4641
Gb0239628,37.874,-122.2649
Gb0365235,41.945701,-103.69853
Gb0184659,45.0061,-74.7949
Gb0210782,44.5361,-110.7972
Gb0055796,43.098333,-89.405278
Gb0153698,-33.8688,151.209
Gb0363231,41.183612,-97.997459
Gb0399087,64.926292,-147.924623
Gb0239761,-68.5549,78.1864
Gb0197112,44.5671,-123.2825
Gb0367408,41.201041,-97.94475
Gb0337737,-64.77,-64.05
Gb0351358,37.876,-122.267
Gb0196493,43.4433,-77.4383
Gb0260466,38.9223,-106.9493
Gb0293341,38.546389,-121.8744
Gb0056006,43.2958,-89.3799
Gb0293388,35.88299428,-106.5342526
Gb0051930,46.561314,6.536765
Gb0362867,41.183612,-97.997459
Gb0149414,48.74,6.34
Gb0278692,14.75,-16.85
Gb0155645,38.7906,-75.1638
Gb0145066,39.6018,-79.9761
Gb0368956,41.53394,-103.41033
Gb0337641,-64.77,-64.05
Gb0314744,49.8112074,-119.6380943
Gb0314291,18.321139,-65.817694
Gb0054779,35.913,-79.056
Gb0241215,41.3777,-82.5117
Gb0279585,33.6062,-117.9312
Gb0122152,44.7533,-110.7247
Gb0316329,22.881217,58.7006
Gb0401173,40.783934,-111.797887
Gb0195948,47.3605,8.4545
Gb0056190,38.42,-109.4099
Gb0307892,37.68851448,-121.7063408
Gb0313837,48.931069,13.425342
Gb0144482,42.3948,-85.3738
Gb0307774,44.7986,-110.7207
Gb0307906,37.68851448,-121.7063408
Gb0187675,48.6,-123.5
Gb0355946,49.263236,-123.248945
Gb0306828,42.4406,-84.3357
Gb0157893,61.2418,21.4803
Gb0148613,44.35,-103.76
Gb0337232,41.9872,-72.6058
Gb0241412,33.7988,-118.6476
Gb0123002,48.3,16.2
Gb0259707,47.6516,-122.3045
Gb0368449,41.945701,-103.69853
Gb0194449,36.8313,-121.9047
Gb0355389,37.876,-122.267
Gb0195521,47.8554,-121.971
Gb0088368,38.5402,-121.75
Gb0148254,-28.32,27.77
Gb0364556,41.53394,-103.41033
Gb0341900,39.0006879,-123.07985
Gb0053864,38.88,-120.64
Gb0095250,40.102108,-88.227299
Gb0365137,41.183612,-97.997459
Gb0382702,41.588337,-70.641089
Gb0291692,46.1208,-123.2695
Gb0149652,48.74,6.34
Gb0366531,41.53394,-103.41033
Gb0351249,45.505661,-89.587394
Gb0376381,41.945701,-103.69853
Gb0292258,33.6062,-117.9312
Gb0194591,36.8313,-121.9047
Gb0364063,41.53394,-103.41033
Gb0367459,41.201041,-97.94475
Gb0210729,44.5361,-110.797
Gb0156850,42.48,-72.1787
Gb0279828,32.5788,-110.8509
Gb0257269,47.1149,-88.5478
Gb0366449,41.53394,-103.41033
Gb0257514,38.5326,-121.783
Gb0337799,-64.77,-64.09
Gb0203772,26.5059,-80.2517
Gb0315172,50.0576,10.44543
Gb0182485,68.3533,19.0466
Gb0365416,41.945701,-103.69853
Gb0203566,68.3533,19.047
Gb0184690,31.4271,-81.6053
Gb0148969,38.9383,-110.1354
Gb0364796,41.183612,-97.997459
Gb0406077,35.32011833,139.6501641
Gb0145093,43.073,-89.4011
Gb0385982,37.877938,-122.086632
Gb0143508,38.9776,-107.0026
Gb0364490,41.53394,-103.41033
Gb0396964,42.4534492,-76.4760776
Gb0144897,46.008,-89.701
Gb0342573,45.27223,-97.8369
Gb0239005,68.3535,19.0473
Gb0260736,31.812,-64.3834
Gb0155914,39.031,-122.432
Gb0102485,51.321602,12.394572
Gb0195976,35.8911,-106.2978
Gb0192068,77.9995,-150.0065
Gb0396938,42.4534492,-76.4760776
Gb0317654,22.866105,58.710594
Gb0393870,49.2610439,-123.2478033
Gb0156305,38.96,-106.99
Gb0370123,41.945701,-103.69853
Gb0366015,41.201041,-97.94475
Gb0343982,39.00177,-123.06967
Gb0259605,44.4279,-110.5884
Gb0280209,68.6721,-149.1359
Gb0337701,-64.77,-64.09
Gb0143844,38.0009,-123.011
Gb0111414,42.3948,-85.3738
Gb0241261,41.3776,-82.512
Gb0362722,41.945701,-103.69853
Gb0376331,41.945701,-103.69853
Gb0305472,16.2781,-61.5582
Gb0205739,50,-145
Gb0314779,-38,-45
Gb0317027,-27.500013,153.012915
Gb0362995,41.183612,-97.997459
Gb0195344,41.9181,-83.3972
Gb0355852,37.876,-122.267
Gb0258406,32.3273,-110.7595
Gb0376158,41.183612,-97.997459
Gb0351974,46.25,-119.73
Gb0305988,29.40849,-82.168434
Gb0382655,41.588337,-70.641089
Gb0396773,49.4117,8.6748
Gb0280059,38.9229,-106.9499
Gb0158069,9.1956,-82.1254
Gb0337259,43.686204,-121.687328
Gb0148192,36.42,-116.32
Gb0314782,-38,-45
Gb0196255,42.5166,-79.8933
Gb0384680,32.57393104,-110.8503533
Gb0196279,42.5166,-79.8933
Gb0366762,41.183612,-97.997459
Gb0365725,41.201041,-97.94475
Gb0194375,-2.7726,121.4938
Gb0313869,37.687,-121.7059
Gb0149287,38.9383,-110.1354
Gb0139581,33.789,-119.2284
Gb0195640,45.9369,-76.0669
Gb0053426,46.041,-89.686
Gb0155662,68.3526,19.0147
Gb0342054,39.0006879,-123.07985
Gb0317858,42.4891,-85.4641
Gb0195689,46.7866,-71.3341
Gb0364336,41.201041,-97.94475
Gb0194404,36.7507,-122.0138
Gb0363940,41.201041,-97.94475
Gb0392857,46.781194,-117.084732
Gb0187447,48.6,-123.5
Gb0142637,48.3,16.2
Gb0351537,33.07735,-111.974819
Gb0158740,33.9255,-83.5226
Gb0280500,43.0765,-89.412
Gb0051980,9.1167,-79.7
Gb0187317,48.6,-123.5
Gb0124972,37.4961,-122.1331
Gb0352061,48.6765,-122.883233
Gb0184898,34.7244,-118.8819
Gb0337581,-64.77,-64.09
Gb0210749,44.5361,-110.7972
Gb0369942,41.183612,-97.997459
Gb0307132,41.6833,2.8
Gb0306503,41.78581,-102.52354
Gb0241398,33.7988,-118.6476
Gb0195190,33.7417,-117.7042
Gb0314871,-38,-45
Gb0124881,46.2024,-123.9409
Gb0369327,41.201041,-97.94475
Gb0389033,-27.4456,153.0844
Gb0379878,42.71,-1.14
Gb0257743,41.8942,-103.685
Gb0184919,34.7244,-118.8819
Gb0056792,50,-145
Gb0307728,43.30485,-89.3309
Gb0355661,37.876,-122.267
Gb0367631,41.53394,-103.41033
Gb0293492,41.5186,-82.6406
Gb0306878,42.4406,-84.3357
Gb0397296,36.0032719,-78.9436823
Gb0194918,48.7122,9.207
Gb0307796,44.7986,-110.7207
Gb0367016,41.945701,-103.69853
Gb0194472,36.8313,-121.9047
Gb0306168,37.851667,-122.294444
Gb0204049,36.8313,-121.9047
Gb0194914,48.7122,9.207
Gb0055494,38.8739528,-122.4391613
Gb0371289,60.306,-145.178
Gb0115558,38.1087,-121.653
Gb0293313,38.546389,-121.8744
Gb0139743,63.883,-145.733
Gb0155847,43.5997,-86.9178
Gb0382660,41.588337,-70.641089
Gb0396759,49.4117,8.6748
Gb0158577,33.9406,-83.5607
Gb0144456,34.3889,-79.001
Gb0366365,41.53394,-103.41033
Gb0389495,50.927692,6.934876
