gold_id,latitude,longitude
Go0000002,54.517335,159.973068
Go0000004,44.560318,-110.8228244
Go0000005,44.6100594,-110.4388217
Go0000009,40.0812,-74.4078
Go0000016,42.404699,-72.308526
Go0000021,45.04,-94.418
Go0000026,26.6,-77.8833
Go0000027,53.55,10
Go0000037,41.526411,-70.680585
Go0000042,39.689,-84.168
Go0000049,0,-140
Go0000051,51.9646,5.6623
Go0000056,44.646244,-63.573566
Go0000066,66.67,-18.5
Go0000071,49.48,8.44
Go0000083,54.943172,10.775886
Go0000084,42.374554,-71.116818
Go0000087,36.022,-84.269
Go0000091,33.283615,-81.726394
Go0000094,52.9509,0.9329
Go0000096,44.6264,-85.6091
Go0000100,38.1287,-122.7616
Go0000115,32.9,-117.255
Go0000117,40.888925,9.101915
Go0000119,33.216667,136.71667
Go0000120,37.690968,-122.310752
Go0000123,41.603221,-73.087749
Go0000126,-22.058056,-176.0775
Go0000136,40.106649,-88.195627
Go0000137,53.5528,9.9806
Go0000146,37.916192,139.036413
Go0000148,39.538845,-107.783363
Go0000151,-23.273646,151.950073
Go0000153,44.4267,-83.3323
Go0000163,40.833,14.15
Go0000166,35.080371,-106.627085
Go0000172,40.829,14.13
Go0000175,47.7398,13.3017
Go0000181,30.473413,-87.212261
Go0000182,38.067222,-122.25
Go0000189,18.92,-155.27
Go0000196,14.2359,121.166
Go0000197,48.38828,-115.55581
Go0000202,38.3913,14.968
Go0000207,34.107811,-118.599658
Go0000209,10.345,107.084
Go0000212,34.052187,-118.243425
Go0000220,34.423403,-119.704416
Go0000223,47.606,-122.332
Go0000229,43.3007,-73.6349
Go0000238,71.294,-156.25
Go0000240,48.38828,-115.55581
Go0000242,33.831609,-118.263731
Go0000245,60.025392,10.666437
Go0000249,9.8505,-104.2999
Go0000258,44.393704,-110.567703
Go0000259,41.525871,-70.670327
Go0000260,41.476883,-71.426451
Go0000271,40.71,-74
Go0000276,-36.5588,145.415039
Go0000283,35.97,-83.92
Go0000286,37.51,-122.506701
Go0000298,51.532,9.928
Go0000299,57.158679,-2.071953
Go0000301,47.609106,-122.569354
Go0000302,41.8647,-87.6477
Go0000304,37.986853,-119.045711
Go0000328,37.7539,126.4882
Go0000330,35,-76
Go0000334,32.6852,-117.1445
Go0000338,51.3534,-1.6156
Go0000339,48.38828,-115.55581
Go0000346,53,-2
Go0000347,58.42198,-149.574839
Go0000350,40.833568,14.162399
Go0000359,70,160
Go0000361,12.25,-68.75
Go0000363,57.3798,20.0115
Go0000365,55.755786,37.617633
Go0000367,-68.479167,-78.183611
Go0000368,43.24,-73.6678
Go0000374,37.584154,-76.178374
Go0000377,42.22179,-120.367935
Go0000381,38.3121,-123.0661
Go0000387,33.2842,-81.7263
Go0000391,52.792,7.242
Go0000416,5.8992,-55.168
Go0000425,37.513333,-68.24
Go0000429,38.9863,-77.0535
Go0000431,53.1508714,13.0498302
Go0000433,61.75,6.816667
Go0000437,47.116667,145.850278
Go0000438,45.4556,12.3374
Go0000439,42.2424,-71.3697
Go0000448,40.844,14.251
Go0000455,37.066666,-40
Go0000467,65.821602,153.327561
Go0000496,21.462738,-157.810321
Go0000536,40.756,-72.82
Go0000546,-19.018917,16.346379
Go0000569,51.372,-0.452
Go0000617,36.805686,128.624055
Go0000618,49.5,-2.5
Go0000620,43.2,6.866667
Go0000621,37.083333,-68.033333
Go0000622,22.495,-65.6
Go0000642,-34.93,138.6
Go0000671,43.204557,-75.923098
Go0000680,34.99,138.39
Go0000690,44.3757616,135.7631719
Go0000705,40.735,13.948
Go0000725,41.603221,-73.087749
Go0000791,37.77,-122.22
Go0000939,40.567095,-105.077036
Go0000940,13.330266,14.100133
Go0000952,43.09709,-89.50473
Go0000953,39.789,20.781
Go0000965,43.07,-89.4
Go0000998,38.58,-122.58
Go0001016,37.986853,-119.045711
Go0001051,54.33,10.13
Go0001163,44.86123,-121.201442
Go0001165,44.393704,-110.567703
Go0001171,54.182,10.445
Go0001173,63.88,-22.5
Go0001177,44.65,-63.6
Go0001178,39.57,2.63
Go0001179,41.38,-8.32
Go0001182,52.939,-73.549
Go0001183,33.245043,126.409526
Go0001187,55.753,37.604
Go0001189,60.39,5.32
Go0001190,44.376,-110.69
Go0001191,63.93,-22.1
Go0001192,43.326,10.498
Go0001203,25.307,110.263
Go0001205,32.718834,-117.163841
Go0001207,35.91,-79.055
Go0001210,45.640618,9.002209
Go0001212,39.9,116.4
Go0001213,52.52,14.42
Go0001214,52.51,13.4
Go0001221,-27.424,153
Go0001222,37.95,58.38
Go0001223,14.83,-17.23
Go0001224,51.589,4.774
Go0001225,41.177342,-112.50211
Go0001226,35.259,139.629
Go0001227,-11.189722,-79.075833
Go0001228,60.18,24.93
Go0001229,40.01,-83
Go0001232,36.48,-116.5
Go0001234,35.67,138.56
Go0001235,45.64,9
Go0001253,20.237556,84.270018
Go0001255,27.834,-97.062
Go0001265,32.530544,-106.723473
Go0001266,39.852013,116.535297
Go0001326,35.23968,139.04623
Go0001329,45.424979,-88.771304
Go0001332,-38.233,145.928
Go0001371,37.986853,-119.045711
Go0001389,29.710489,-95.39907
Go0001430,70,158
Go0001431,44.969,-110.72
Go0001435,41.585,-112.0843
Go0001469,-12.354729,130.88165
Go0001487,47.482959,-94.879704
Go0001546,42.444589,-76.499268
Go0001692,-14.5994,-28.6731
Go0001753,44.6111,-110.4412
Go0001773,44.376262,-110.690383
Go0001809,37.147034,24.518901
Go0001811,-32.533333,-57
Go0001823,41.526357,-70.668322
Go0001833,35.447507,139.642345
Go0001840,24.14,-110.31
Go0001894,30.325278,30.407222
Go0001897,34.299366,-79.876714
Go0001903,66.780217,-18.480835
Go0001905,28.083612,-111.408692
Go0001908,23.366667,-44.933333
Go0001915,36.01,-84.269
Go0001917,37.728543,-89.215708
Go0001918,-1.935,36.253
Go0001919,9.833,-104.3
Go0001922,40.491816,-74.322087
Go0001924,48.85,2.35
Go0001926,25.066127,-77.339025
Go0001927,40.964972,-5.663047
Go0001929,-5.05,11.783
Go0001930,18.088189,-67.147095
Go0001932,45.64,9.002
Go0001933,43.1,-89.4
Go0001934,35.658503,139.752173
Go0001967,51.455718,-2.588654
Go0001972,-37.800453,144.942169
Go0001973,53.553407,9.992196
Go0001995,51.77,5.53
Go0002007,44.376262,-110.690383
Go0002088,44.636707,-110.438919
Go0002091,17.972949,-67.047164
Go0002101,36.548,-82.561
Go0002102,44.376262,-110.690383
Go0002103,39.75,-107.62
Go0002105,45.77,-111.021591
Go0002111,37.73,-25.3
Go0002112,37.916192,139.036413
Go0002121,52.11,6.05
Go0002122,51.416,79.483
Go0002198,50.452258,-104.605694
Go0002201,43.255,76.912
Go0002212,35.493,-118.85
Go0002213,35.493,-118.85
Go0002229,35.985007,-121.245346
Go0002235,42.733621,-84.546582
Go0002239,45.394173,5.259637
Go0002242,37.87,-122.27
Go0002244,47.9615,16.5171
Go0002245,48.6911,6.1823
Go0002249,40.437746,-74.20347
Go0002255,37.566535,126.977969
Go0002256,39.538845,-107.783363
Go0002258,47.800499,13.04441
Go0002260,14.7031,-17.4221
Go0002265,52.38,9.82
Go0002266,53.869,8.693
Go0002268,42.759,-84.399
Go0002270,62.520684,139.053039
Go0002271,52.637993,-1.640747
Go0002272,4.6,74.08
Go0002273,-27.32,148.72
Go0002275,27.27,127.17
Go0002289,44.088769,-62.738342
Go0002293,44.7532,-110.7227
Go0002294,45.360542,11.789381
Go0002298,40.668,-122.527
Go0002309,-68.3481,78.0432
Go0002315,45.3453,34.49973
Go0002317,38.4154,14.9609
Go0002325,36.674,24.517
Go0002333,47.607503,-122.343002
Go0002334,52.45785,158.196201
Go0002335,52.45785,158.196201
Go0002336,52.45785,158.196201
Go0002338,40.5126,-121.4347
Go0002339,40.515313,-121.433315
Go0002342,44.699641,-110.745721
Go0002343,44.6184,-110.1025
Go0002444,29.32,-82.23
Go0002779,38.25222,140.335602
Go0002833,33.378561,126.566191
Go0002884,53.83,-3.05
Go0002963,9.542534,138.11013
Go0003084,43.07,-89.4
Go0003218,-4.23,152.2
Go0003219,25.13,-80.41
Go0003221,34.856,138.938
Go0003222,-38.131667,176.241944
Go0003246,43.849784,-69.6266
Go0003249,-23.821424,31.445618
Go0003265,53.37,-1.5
Go0003395,30.418502,30.333323
Go0003396,52.504582,82.999935
Go0003403,42.44,-76.5
Go0003442,46.26,34.86
Go0003444,4.63,-74.08
Go0003484,27.87,-110.81
Go0003485,-0.307616,-20.566842
Go0003487,14.75,-44.983
Go0003489,23.36,-44.93
Go0003490,65.05,-16.8
Go0003492,21.37,38.07
Go0003498,39.281,-76.29
Go0003500,-6.247447,107.148452
Go0003513,29.4,-82.3
Go0003524,39.348317,-107.859192
Go0003527,44.376262,-110.690383
