gold_id,latitude,longitude
Gp0000002,54.517335,159.973068
Gp0000004,44.560318,-110.8228244
Gp0000005,44.6100594,-110.4388217
Gp0000009,40.0812,-74.4078
Gp0000016,42.404699,-72.308526
Gp0000021,45.04,-94.418
Gp0000026,26.6,-77.8833
Gp0000027,53.55,10
Gp0000037,41.526411,-70.680585
Gp0000041,54.182915,7.897038
Gp0000042,39.689,-84.168
Gp0000049,0,-140
Gp0000051,51.9646,5.6623
Gp0000056,44.646244,-63.573566
Gp0000066,66.67,-18.5
Gp0000071,49.48,8.44
Gp0000083,54.943172,10.775886
Gp0000084,42.374554,-71.116818
Gp0000087,36.022,-84.269
Gp0000091,33.283615,-81.726394
Gp0000094,52.9509,0.9329
Gp0000096,44.6264,-85.6091
Gp0000100,38.1287,-122.7616
Gp0000115,32.9,-117.255
Gp0000117,40.888925,9.101915
Gp0000119,33.216667,136.71667
Gp0000120,37.690968,-122.310752
Gp0000123,41.603221,-73.087749
Gp0000126,-22.058056,-176.0775
Gp0000136,40.106649,-88.195627
Gp0000137,53.5528,9.9806
Gp0000146,37.916192,139.036413
Gp0000148,39.538845,-107.783363
Gp0000153,44.4267,-83.3323
Gp0000163,40.833,14.15
Gp0000166,35.080371,-106.627085
Gp0000172,40.829,14.13
Gp0000175,47.7398,13.3017
Gp0000181,30.473413,-87.212261
Gp0000182,38.067222,-122.25
Gp0000189,18.92,-155.27
Gp0000196,14.2359,121.166
Gp0000197,48.38828,-115.55581
Gp0000202,38.3913,14.968
Gp0000207,34.107811,-118.599658
Gp0000209,10.345,107.084
Gp0000212,34.052187,-118.243425
Gp0000220,34.423403,-119.704416
Gp0000223,47.606,-122.332
Gp0000229,43.3007,-73.6349
Gp0000238,71.294,-156.25
Gp0000239,3.8765,-51.07167
Gp0000240,48.38828,-115.55581
Gp0000242,33.831609,-118.263731
Gp0000245,60.025392,10.666437
Gp0000249,9.8505,-104.2999
Gp0000258,44.393704,-110.567703
Gp0000259,41.525871,-70.670327
Gp0000260,41.476883,-71.426451
Gp0000271,40.71,-74
Gp0000276,-36.5588,145.415039
Gp0000283,35.97,-83.92
Gp0000286,37.51,-122.506701
Gp0000298,51.532,9.928
Gp0000299,57.158679,-2.071953
Gp0000301,47.609106,-122.569354
Gp0000302,41.8647,-87.6477
Gp0000304,37.986853,-119.045711
Gp0000328,37.7539,126.4882
Gp0000330,35,-76
Gp0000334,32.6852,-117.1445
Gp0000338,51.3534,-1.6156
Gp0000339,48.38828,-115.55581
