biosample_id,latitude,longitude
nmdc:bsm-11-002vgm56,63.875088,-149.210438
nmdc:bsm-11-006pnx90,42.39,-85.37
nmdc:bsm-11-00dkyf35,37.110011,-119.735218
nmdc:bsm-11-00f5nh68,42.966111,-89.35611
nmdc:bsm-11-00hrxp98,42.427091,-72.229737
nmdc:bsm-11-00m15h97,40.818371,-104.746715
nmdc:bsm-11-00n3rq22,44.296098,-85.199612
nmdc:bsm-11-00yhef97,31.189774,-84.465861
nmdc:bsm-11-011z7z70,44.5881,-123.1926
nmdc:bsm-11-0169zs66,34.4149,-119.841
nmdc:bsm-11-01bbrr08,64.8558,-147.8335
nmdc:bsm-11-01bwgx44,44.119417,-89.533806
nmdc:bsm-11-01f6m423,33.414259,-97.597098
nmdc:bsm-11-01g9wf51,44.062082,-71.285878
nmdc:bsm-11-01gd8h56,42.013,-93.743
nmdc:bsm-11-01jah904,68.627175,-149.590514
nmdc:bsm-11-01jttz71,42.476365,-85.451887
nmdc:bsm-11-01teww33,44.5878,-123.1936
nmdc:bsm-11-01vt2q72,38.890131,-76.560014
nmdc:bsm-11-024rsd62,34.25,-121.13
nmdc:bsm-11-026r0w03,42.013,-93.743
nmdc:bsm-11-026rze76,44.296098,-85.199652
nmdc:bsm-11-02kcw433,40.185938,-112.47248
nmdc:bsm-11-02n85875,47.12829,-99.243528
nmdc:bsm-11-02pbkx79,42.476365,-85.451887
nmdc:bsm-11-02v78297,31.196458,-84.461913
nmdc:bsm-11-02x97z84,18.321,-65.8172
nmdc:bsm-11-034x5t48,33.397987,-97.568339
nmdc:bsm-11-038c0a54,45.763274,-87.187681
nmdc:bsm-11-038rtm46,42.013,-93.743
nmdc:bsm-11-03c88471,43.0995,-89.4045
nmdc:bsm-11-03cvvh77,45.665551,-89.218093
nmdc:bsm-11-03dy0348,43.582587,-109.97175
nmdc:bsm-11-03rbrx77,45.763274,-87.187681
nmdc:bsm-11-03tatq76,65.155247,-147.512957
nmdc:bsm-11-03wdqa25,37.368528,-80.526975
nmdc:bsm-11-040a1y63,19.554243,-155.228851
nmdc:bsm-11-040pda34,38.93,-77.05
nmdc:bsm-11-042nd237,42.481016,-72.178343
nmdc:bsm-11-0435yq18,42.39,-85.37
nmdc:bsm-11-043hgn06,35.419991,-99.057264
nmdc:bsm-11-044gzn43,46.2530248,-119.47723
nmdc:bsm-11-047eb087,42.013,-93.743
nmdc:bsm-11-04bta395,46.254613,-89.512657
nmdc:bsm-11-04kd7a87,63.873367,-149.216447
nmdc:bsm-11-04md1t87,44.119417,-89.533806
nmdc:bsm-11-04qjyv47,39.7392,-123.6308
nmdc:bsm-11-04t36j23,43.0995,-89.4045
nmdc:bsm-11-04t67s02,42.013,-93.743
nmdc:bsm-11-04tyx479,34.4148,-119.8405
nmdc:bsm-11-04vy6f77,42.476365,-85.451887
nmdc:bsm-11-04wp3b78,35.68896,-83.50195
nmdc:bsm-11-04z8tj85,42.510139,-72.212583
nmdc:bsm-11-05082t91,39.7392,-123.6308
nmdc:bsm-11-0533mp26,44.119417,-89.533806
nmdc:bsm-11-05d5a977,43.0995,-89.4045
nmdc:bsm-11-05dve909,44.5876,-123.1939
nmdc:bsm-11-05fh0s26,38.5382,-121.7617
nmdc:bsm-11-05m5kp37,18.321,-65.8172
nmdc:bsm-11-05t3df21,33.406134,-97.593996
nmdc:bsm-11-05yzsw39,64.8558,-147.8335
nmdc:bsm-11-063svk49,35.982199,-84.212753
nmdc:bsm-11-06bhy091,35.938227,-84.32368
nmdc:bsm-11-06ccvh28,42.458487,-72.231987
nmdc:bsm-11-06dh4270,32.948795,-87.397268
nmdc:bsm-11-06dzrg11,31.909824,-110.835912
nmdc:bsm-11-06ea4y10,45.83986,-119.70058
nmdc:bsm-11-06evpv96,42.476365,-85.451887
nmdc:bsm-11-06g2dc22,-23.140369,113.769166
nmdc:bsm-11-06hvfb08,40.180775,-112.431854
nmdc:bsm-11-06mvg980,42.39,-85.37
nmdc:bsm-11-06npav11,44.296098,-85.199683
nmdc:bsm-11-06pa9m89,1.434767476,103.7112433
nmdc:bsm-11-06qrej20,45.76858,-122.298736
nmdc:bsm-11-06rrsv58,44.296098,-85.199612
nmdc:bsm-11-06ry4a86,43.0995,-89.4045
nmdc:bsm-11-06ta8e31,40.853093,-104.728006
nmdc:bsm-11-06tgpb52,40.275899,-105.546756
nmdc:bsm-11-06wdhd53,18.020963,-67.074891
nmdc:bsm-11-06xe5s91,42.013,-93.743
nmdc:bsm-11-06zjzf92,46.772266,-100.919713
nmdc:bsm-11-070qpa21,19.55072,-155.315984
nmdc:bsm-11-070z3y04,18.020963,-67.074891
nmdc:bsm-11-071rdf83,38.5382,-121.7617
nmdc:bsm-11-072a9s43,45.493228,-89.582708
nmdc:bsm-11-073y9h82,45.763274,-87.187681
nmdc:bsm-11-074phz40,37.112827,-119.731615
nmdc:bsm-11-078st260,44.296098,-85.199612
nmdc:bsm-11-07ar1j63,35.957646,-84.261838
nmdc:bsm-11-07dyqv24,40.205921,-112.430276
nmdc:bsm-11-07hz4140,50.5269,30.4439
nmdc:bsm-11-07js9c68,43.0995,-89.4045
nmdc:bsm-11-07nqms41,42.39,-85.37
nmdc:bsm-11-07pb3642,10.43162,-84.00306
nmdc:bsm-11-07qp3e36,42.39,-85.37
nmdc:bsm-11-07qq9z23,44.055247,-71.263146
nmdc:bsm-11-07spy989,38.920406451,-106.948476151
nmdc:bsm-11-07t6sw54,44.296098,-85.199612
nmdc:bsm-11-07vzav23,42.476365,-85.451887
nmdc:bsm-11-0806bb27,68.627175,-149.590514
nmdc:bsm-11-083pnf20,19.587494,-155.339669
nmdc:bsm-11-083vtj79,47.12584,-99.253801
nmdc:bsm-11-087tfy22,44.296098,-85.199612
nmdc:bsm-11-08bzjv22,45.824274,-121.966341
nmdc:bsm-11-08c9tv59,42.476365,-85.451887
nmdc:bsm-11-08e9gn78,43.0995,-89.4045
nmdc:bsm-11-08ee0j37,42.013,-93.743
nmdc:bsm-11-08fpzx54,19.389389,-155.25
nmdc:bsm-11-08mamh62,44.5881,-123.1939
nmdc:bsm-11-08mmms67,32.974426,-87.42694
nmdc:bsm-11-08nch810,47.118581,-99.239944
nmdc:bsm-11-08nps265,43.0995,-89.4045
nmdc:bsm-11-08qsb552,42.476365,-85.451887
nmdc:bsm-11-08tvsn50,38.53502,-121.77985
nmdc:bsm-11-08vsp197,39.045354,-95.201392
nmdc:bsm-11-08xb2k71,17.973138,-66.861701
nmdc:bsm-11-097t3b49,37.89004,-107.65252
nmdc:bsm-11-09ad0019,40.205921,-112.430276
nmdc:bsm-11-09bbdk62,43.0995,-89.4045
nmdc:bsm-11-09ep6044,44.954799,-110.539286
nmdc:bsm-11-09h8g835,33.397987,-97.568339
nmdc:bsm-11-09mw4x83,45.83986,-119.70058
nmdc:bsm-11-09rxba07,42.476365,-85.451887
nmdc:bsm-11-09z9jm13,45.506757,-89.58706
nmdc:bsm-11-09zas694,28.12505,-81.43619
nmdc:bsm-11-0ahthd94,37.87745088325767,-122.25056987961348
nmdc:bsm-11-0an3j196,40.174021,-112.45284
nmdc:bsm-11-0asn5d63,40.853093,-104.728006
nmdc:bsm-11-0ax2jv30,42.013,-93.743
nmdc:bsm-11-0b3f6q91,43.0995,-89.4045
nmdc:bsm-11-0b52dk93,46.232249,-89.534573
nmdc:bsm-11-0b67sr13,40.61507,-78.00688
nmdc:bsm-11-0b7nbq19,42.476365,-85.451887
nmdc:bsm-11-0b8ncb13,45.49009,-89.590096
nmdc:bsm-11-0b9aj433,46.22596,-89.513299
nmdc:bsm-11-0bj8v379,31.910099,-110.837175
nmdc:bsm-11-0bj91094,17.96911,-66.864276
nmdc:bsm-11-0bnpdx15,29.696568,-82.02558
nmdc:bsm-11-0br06j81,43.099,-89.405
nmdc:bsm-11-0bsqbq85,44.296098,-85.199612
nmdc:bsm-11-0bvp3w41,37.2101,-80.4451
nmdc:bsm-11-0byf2s84,40.201043,-112.497129
nmdc:bsm-11-0c0bmh09,44.296098,-85.199612
nmdc:bsm-11-0c5jqf27,65.163534,-147.527149
nmdc:bsm-11-0c5mdg78,44.119417,-89.533806
nmdc:bsm-11-0c9czb71,63.835171,-145.748058
nmdc:bsm-11-0cd1ge08,43.0995,-89.4045
nmdc:bsm-11-0cd7b431,44.296098,-85.199612
nmdc:bsm-11-0ch3bt53,46.041,-89.686
nmdc:bsm-11-0cmqxz82,42.013,-93.743
nmdc:bsm-11-0cq0tt05,34.4149,-119.841
nmdc:bsm-11-0cqdm784,35.907707072990114,-79.05064976580984
nmdc:bsm-11-0d2xxc20,51.390412,30.072309
nmdc:bsm-11-0d4a3v31,44.067944,-71.290624
nmdc:bsm-11-0d69tm54,42.966111,-89.35611
nmdc:bsm-11-0d6dns65,32.539627,-87.801968
nmdc:bsm-11-0d6kw824,42.39,-85.37
nmdc:bsm-11-0d7rka29,32.922166,-87.428895
nmdc:bsm-11-0dg5tr66,42.013,-93.743
nmdc:bsm-11-0djp2e45,40.474713,-103.0243
nmdc:bsm-11-0ds10w95,32.60493,-106.802046
nmdc:bsm-11-0dvkcy09,18.321,-65.8172
nmdc:bsm-11-0dxeyx75,63.897743,-149.225089
nmdc:bsm-11-0dxyhz83,33.35,-122.12
nmdc:bsm-11-0e0c0n70,33.397987,-97.568339
nmdc:bsm-11-0e3ayb34,34.4149,-119.841
nmdc:bsm-11-0e61tc95,47.129092,-99.245921
nmdc:bsm-11-0e7t9d56,33.398235,-97.566725
nmdc:bsm-11-0eaqta51,45.822941,-121.998707
